Species,Family,Genus,RootD,BTh,LTh,LDMC,WD,C.N,LL,SLA,MoistUse
Abies_amabilis,Pinaceae,Abies,0.9144,7.5,0.544905,0.46766092,0.483636364,2,64.64272786,10.58166667,2
Abies_balsamea,Pinaceae,Abies,1.143438095,7.5,0.402165,0.5492,0.463570785,2,48.42818357,14.19744382,2
Abies_grandis,Pinaceae,Abies,1.258,7.5,0.4738,0.3455,0.428149445,2,54,11.0563714,2
Abies_lasiocarpa,Pinaceae,Abies,1.016,6.537931034,0.75875,0.508282759,0.341606846,2,91.5,12.81687008,2
Acer_circinatum,Aceraceae,Acer,0.6096,25,0.124625,0.347336644,0.528648634,2,6.008531954,43.98167864,2
Acer_glabrum,Aceraceae,Acer,0.6096,25,0.147475,0.347336644,0.528648634,2,6.008531954,26.2267468,1
Acer_macrophyllum,Aceraceae,Acer,0.6096,25,0.13195,0.347336644,0.46,2,6.008531954,24.29209869,2
Acer_pseudoplatanus,Aceraceae,Acer,0.6296,25,0.168289728,0.347336644,0.597297268,2,6.008531954,16.90381778,2
Acer_sp,Aceraceae,Acer,1.75,25,0.143084932,0.347336644,0.528648634,2,6.008531954,13.07463544,2
Alnus_incana,Betulaceae,Alnus,0.5048,0.521603687,0.14,0.297458596,0.423728148,2,4.806398965,18.22495699,3
Alnus_rubra,Betulaceae,Alnus,0.635,0.442993263,0.135,0.322029822,0.4,2,4.203199483,14.05434641,3
Alnus_viridis,Betulaceae,Alnus,0.5699,0.431566201,0.13,0.346601048,0.411864074,2,3.6,16.1396517,3
Arbutus_menziesii,Ericaceae,Arbutus,0.6096,2.107724721,0.2964,0.4455,0.766,2,14.81720861,6.745941581,1
Betula_papyrifera,Betulaceae,Betula,0.413216667,0.853144928,0.16987736,0.432610058,0.542722222,1,6.400160006,20.24840999,3
Betula_sp,Betulaceae,Betula,0.85,0.853144928,0.16987736,0.432610058,0.542722222,1,6.400160006,17,3
Callitropsis_nootkatensis,Cornaceae,Cornus,0.7764,1.919146478,0.27747845,0.344970429,0.44,2,15.72270574,9.208909665,2
Cornus_nuttallii,Cornaceae,Cornus,0.3048,7.2690726,0.103308251,0.628211431,0.58,2,9.435561594,35.06,2
Larix_occidentalis,Pinaceae,Larix,0.369333333,14.78019092,5,0.613259039,0.520545246,2,24.16594053,11.26063213,1
Larix_sp,Pinaceae,Larix,0.9,22.24958733,5,0.722859638,0.520545246,2,34.80336259,17.4141687,1
Malus_fusca,Rosaceae,Malus,0.6,2.930297138,0.151812261,0.358666667,0.6006,1,10.49095648,17.38515837,2
Picea_engelmannii,Pinaceae,Picea,0.508,7.5,1.09625,0.344371465,0.455650849,2,75,3.314932618,2
Picea_glauca,Pinaceae,Picea,0.770433333,7.5,0.940615789,0.446860759,0.421984022,2,50.27493965,9.02264746,2
Picea_mariana,Pinaceae,Picea,0.490936066,1.695499491,1.42147576,0.214487174,0.489758104,2,50.59993103,4.98799457,3
Picea_sitchensis,Pinaceae,Picea,0.49696,7.5,2.390026198,0.371766463,0.361298662,2,37.8,5.871366705,2
Picea_sp,Pinaceae,Picea,0.56658235,6.048874873,1.259011053,0.344371465,0.43217291,2,53.41871767,5.799235338,2
Pinus_albicaulis,Pinaceae,Pinus,0.4064,45,0.723333333,0.382805911,0.454386346,2,27.75,4.175,2
Pinus_banksiana,Pinaceae,Pinus,1.334033333,1.147194175,0.723333333,0.259460959,0.415544385,2,29.25,6.31467147,1
Pinus_contorta,Pinaceae,Pinus,0.972091852,22.5,0.723333333,0.54553592,0.40724681,2,24,15.3414736,2
Pinus_monticola,Pinaceae,Pinus,1.016,45,0.723333333,0.401492102,0.385,2,30,5.004288577,2
Populus_balsamifera,Salicaceae,Populus,0.892313333,1.943761194,0.156308571,0.432,0.358486134,2,6.400160006,16.82612273,3
Populus_sp,Salicaceae,Populus,2.075,1.943761194,0.282,0.40247863,0.385602142,1,6.089209746,13.89872882,3
Populus_tremuloides,Salicaceae,Populus,0.892381818,1.943761194,0.144728,0.372957259,0.39590209,1,5.778259485,14.88411113,3
Prunus_emarginata,Rosaceae,Prunus,0.508,2.777389248,0.095001724,0.338,0.581868421,2,7.471909395,15.03080141,2
Prunus_pensylvanica,Rosaceae,Prunus,0.508,2.777389248,0.095001724,0.338,0.4064,2,12.00048002,18.60795034,2
Prunus_sp,Rosaceae,Prunus,0.508,3.236112918,0.265433333,0.4,0.483254269,2,12.00048002,9.609039607,2
Pseudotsuga_menziesii,Pinaceae,Pseudotsuga,1.107658824,16.2228125,0.491112472,0.519410112,0.471739284,2,55.12180763,9.102634498,2
Salix_sp,Salicaceae,Salix,0.3048,0.7957,0.178627831,0.364360638,0.447363589,2,4.651329469,12.99357659,3
Salix_scouleriana,Salicaceae,Salix,0.3048,0.7957,0.178627831,0.364360638,0.414893381,2,3.407917766,12.90208575,3
Taxus_brevifolia,Taxaceae,Taxus,0.9144,1.589029452,0.320788146,0.259388798,0.657874017,2,35.61240264,12.07820909,1
Thuja_plicata,Cupressaceae,Thuja,0.7764,4.162056298,0.4898,0.2715,0.442731997,2,42.59463426,9.208909665,2
Tsuga_heterophylla,Pinaceae,Tsuga,0.83088,7.5,0.458375,0.473124079,0.490909091,2,48,14.9692081,2
Tsuga_mertensiana,Pinaceae,Tsuga,1.016,7.5,0.458375,0.374519928,0.465,2,48,4.32,3
